year,af,rain,sun
1960,15.00,1292.10,1537.60
1961,22.00,971.40,1528.90
1962,33.00,811.10,1498.30
1963,62.00,796.20,1441.30
1964,22.00,680.90,1434.20
1965,32.00,901.70,1605.80
1966,16.00,966.60,1461.80
1967,12.00,965.60,1505.30
1968,32.00,809.40,1547.90
1969,30.00,800.30,1477.90
1970,30.00,877.20,1337.20
1971,17.00,880.50,1509.90
1972,7.00,911.00,1513.80
1973,16.00,755.80,1522.30
1974,4.00,996.50,1472.60
1975,7.00,655.20,1708.80
1976,18.00,729.00,1569.40
1977,15.00,892.60,1593.40
1978,28.00,734.60,1408.20
1979,37.00,975.60,1472.50
1980,18.00,827.30,1387.70
1981,26.00,942.50,1324.60
1982,17.00,917.60,1475.30
1983,22.00,821.70,1484.80
1984,14.00,852.70,1660.10
1985,39.00,871.00,1550.20
1986,33.00,884.90,1452.10
1987,43.00,851.70,1538.20
1988,6.00,898.10,1553.10
1989,13.00,784.30,1746.60
1990,6.00,751.70,1679.00
1991,29.00,769.50,1500.20
1992,18.00,913.50,1446.50
1993,9.00,987.20,1459.80
1994,9.00,1051.00,1504.10
1995,17.00,828.80,1826.00
1996,32.00,692.90,1750.10
1997,15.00,891.60,1638.90
1998,14.00,970.40,1498.70
